#run                                              hdice sig                                              | old_sharp new_sharp | old_soft new_soft
------------------------------------------------------------------------------------------------------------------------------------------------------
CamEnvDiff-v0__train_csg__1__1783557509131      0.4793 target_shape=sphere_bowl init_mode=multidepth w_residual=5.0 multidepth_revs=12.0 feed_ipm=60.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9411 |   0.1525   0.1525
CamEnvDiff-v0__train_csg__1__1783557509149      0.0482 target_shape=sphere_hole init_mode=multidepth w_residual=5.0 multidepth_revs=12.0 feed_ipm=60.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9004 |   0.5963   0.6020
CamEnvDiff-v0__train_csg__1__1783557509153      0.0963 target_shape=sphere_hole init_mode=random w_residual=5.0 multidepth_revs=3.0 feed_ipm=10.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9178 |   0.2240   0.2258
CamEnvDiff-v0__train_csg__1__1783557509166      0.4940 target_shape=pyramid init_mode=multidepth w_residual=5.0 multidepth_revs=12.0 feed_ipm=60.0 w_gouge=4.0 max_steps=128 |    1.0000    0.8874 |   0.2323   0.2358
CamEnvDiff-v0__train_csg__1__1783557509181      0.3904 target_shape=pyramid init_mode=random w_residual=5.0 multidepth_revs=3.0 feed_ipm=10.0 w_gouge=4.0 max_steps=128 |    1.0000    0.8610 |   0.0994   0.1010
CamEnvDiff-v0__train_csg__1__1783557509227      0.4331 target_shape=sphere_bowl init_mode=random w_residual=5.0 multidepth_revs=3.0 feed_ipm=10.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9656 |   0.0922   0.0923
CamEnvDiff-v0__train_csg__1__1783557509231      0.8150 target_shape=box init_mode=random w_residual=5.0 multidepth_revs=3.0 feed_ipm=10.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9677 |   0.0733   0.0735
CamEnvDiff-v0__train_csg__1__1783557509319      0.8144 target_shape=box init_mode=multidepth w_residual=5.0 multidepth_revs=12.0 feed_ipm=60.0 w_gouge=4.0 max_steps=128 |    1.0000    0.9868 |   0.0729   0.0730
